Month,Country,revenue,orders,customers,quantity,year,month,revenue_lag_1,revenue_lag_2,revenue_lag_3,revenue_roll_3,revenue_roll_6
2009-12,Australia,271.1,2,2,160,2009,12,,,,,
2010-02,Australia,1029.66,3,3,624,2010,2,271.1,,,,
2010-03,Australia,429.39,2,2,191,2010,3,1029.66,271.1,,,
2010-04,Australia,630.95,2,2,560,2010,4,429.39,1029.66,271.1,576.7166666666667,
2010-05,Australia,2371.15,6,4,667,2010,5,630.95,429.39,1029.66,696.6666666666666,
2010-06,Australia,3214.78,3,3,2280,2010,6,2371.15,630.95,429.39,1143.83,
2010-07,Australia,686.12,3,2,224,2010,7,3214.78,2371.15,630.95,2072.2933333333335,1324.505
2010-08,Australia,176.0,1,1,88,2010,8,686.12,3214.78,2371.15,2090.6833333333334,1393.675
2010-09,Australia,785.83,2,2,293,2010,9,176.0,686.12,3214.78,1358.9666666666665,1251.3983333333333
2010-10,Australia,2989.15,9,8,1881,2010,10,785.83,176.0,686.12,549.3166666666665,1310.805
2010-11,Australia,18245.52,5,4,12900,2010,11,2989.15,785.83,176.0,1316.993333333333,1703.8383333333331
2010-12,Australia,1032.85,3,2,467,2010,12,18245.52,2989.15,785.83,7340.166666666667,4349.566666666667
2011-01,Australia,9017.710000000001,9,7,5644,2011,1,1032.85,18245.52,2989.15,7422.506666666665,3985.9116666666664
2011-02,Australia,14695.42,5,4,8680,2011,2,9017.710000000001,1032.85,18245.52,9432.026666666667,5374.509999999999
2011-03,Australia,17223.99,3,3,10439,2011,3,14695.42,9017.710000000001,1032.85,8248.660000000002,7794.413333333333
2011-04,Australia,771.6,2,2,225,2011,4,17223.99,14695.42,9017.710000000001,13645.706666666667,10534.106666666667
2011-05,Australia,13638.41,4,2,8999,2011,5,771.6,17223.99,14695.42,10897.003333333332,10164.515000000001
2011-06,Australia,25187.77,4,2,15981,2011,6,13638.41,771.6,17223.99,10544.666666666666,9396.663333333334
2011-07,Australia,4964.38,7,3,5318,2011,7,25187.77,13638.41,771.6,13199.26,13422.483333333332
2011-08,Australia,22489.2,2,2,12570,2011,8,4964.38,25187.77,13638.41,14596.853333333333,12746.928333333331
2011-09,Australia,5106.7300000000005,8,6,4079,2011,9,22489.2,4964.38,25187.77,17547.116666666665,14045.891666666668
2011-10,Australia,17150.53,4,2,7401,2011,10,5106.7300000000005,22489.2,4964.38,10853.436666666666,12026.348333333335
2011-11,Australia,7242.72,6,3,4098,2011,11,17150.53,5106.7300000000005,22489.2,14915.486666666666,14756.17
2009-12,Austria,1998.3400000000001,2,2,564,2009,12,,,,,
2010-02,Austria,1118.8600000000001,3,3,480,2010,2,1998.3400000000001,,,,
2010-03,Austria,925.13,5,4,401,2010,3,1118.8600000000001,1998.3400000000001,,,
2010-04,Austria,1388.54,1,1,798,2010,4,925.13,1118.8600000000001,1998.3400000000001,1347.4433333333334,
2010-05,Austria,622.04,1,1,655,2010,5,1388.54,925.13,1118.8600000000001,1144.1766666666667,
2010-06,Austria,268.1,1,1,281,2010,6,622.04,1388.54,925.13,978.57,
2010-08,Austria,1043.15,1,1,689,2010,8,268.1,622.04,1388.54,759.56,1053.5016666666668
2010-09,Austria,1940.17,5,3,1217,2010,9,1043.15,268.1,622.04,644.43,894.3033333333333
2010-10,Austria,1236.7,4,3,351,2010,10,1940.17,1043.15,268.1,1083.8066666666666,1031.1883333333333
2010-11,Austria,2873.3,5,4,1261,2010,11,1236.7,1940.17,1043.15,1406.6733333333334,1083.1166666666668
2010-12,Austria,277.2,1,1,51,2010,12,2873.3,1236.7,1940.17,2016.7233333333334,1330.5766666666666
2011-02,Austria,518.36,2,2,342,2011,2,277.2,2873.3,1236.7,1462.4000000000003,1273.1033333333332
2011-03,Austria,1708.12,2,2,982,2011,3,518.36,277.2,2873.3,1222.9533333333336,1314.8133333333335
2011-04,Austria,680.78,2,2,311,2011,4,1708.12,518.36,277.2,834.5600000000001,1425.6416666666667
2011-05,Austria,1249.43,2,2,476,2011,5,680.78,1708.12,518.36,969.0866666666667,1215.7433333333336
2011-07,Austria,1191.95,2,2,573,2011,7,1249.43,680.78,1708.12,1212.7766666666669,1217.865
2011-08,Austria,1516.08,2,2,790,2011,8,1191.95,1249.43,680.78,1040.7200000000003,937.64
2011-10,Austria,1043.78,1,1,491,2011,10,1516.08,1191.95,1249.43,1319.1533333333336,1144.1200000000001
2011-11,Austria,1329.78,2,2,717,2011,11,1043.78,1516.08,1191.95,1250.6033333333335,1231.69
2011-12,Austria,683.2,1,1,148,2011,12,1329.78,1043.78,1516.08,1296.5466666666669,1168.6333333333334
2010-02,Bahrain,439.85,1,0,159,2010,2,,,,,
2010-03,Bahrain,548.8,2,0,98,2010,3,439.85,,,,
2010-05,Bahrain,585.96,2,1,352,2010,5,548.8,439.85,,,
2010-06,Bahrain,463.28,1,0,224,2010,6,585.96,548.8,439.85,524.8700000000002,
2010-10,Bahrain,317.76,1,1,192,2010,10,463.28,585.96,548.8,532.6800000000002,
2010-12,Bahrain,205.74,1,0,54,2010,12,317.76,463.28,585.96,455.6666666666668,
2011-05,Bahrain,548.4,2,2,260,2011,5,205.74,317.76,463.28,328.9266666666668,426.8983333333333
2009-12,Belgium,447.6,3,2,153,2009,12,,,,,
2010-01,Belgium,1634.02,4,3,717,2010,1,447.6,,,,
2010-02,Belgium,3209.0,3,2,704,2010,2,1634.02,447.6,,,
2010-03,Belgium,904.02,3,3,487,2010,3,3209.0,1634.02,447.6,1763.5400000000002,
2010-04,Belgium,2570.39,4,4,1445,2010,4,904.02,3209.0,1634.02,1915.68,
2010-05,Belgium,98.15,1,1,38,2010,5,2570.39,904.02,3209.0,2227.8033333333333,
2010-06,Belgium,3800.34,6,4,1588,2010,6,98.15,2570.39,904.02,1190.8533333333335,1477.1966666666667
2010-07,Belgium,1914.23,7,6,1393,2010,7,3800.34,98.15,2570.39,2156.2933333333335,2035.9866666666667
2010-08,Belgium,1713.62,3,3,954,2010,8,1914.23,3800.34,98.15,1937.5733333333337,2082.6883333333335
